,Data Type,Missing Values,Unique Values,% Complete
Id,int64,0,1459,100.0
MSSubClass,int64,0,16,1.0966415352981493
MSZoning,object,4,5,0.3427004797806717
LotFrontage,float64,227,115,7.882111034955449
LotArea,int64,0,1106,75.80534612748458
Street,object,0,2,0.13708019191226867
Alley,object,1352,2,0.13708019191226867
LotShape,object,0,4,0.27416038382453733
LandContour,object,0,4,0.27416038382453733
Utilities,object,2,1,0.06854009595613433
LotConfig,object,0,5,0.3427004797806717
LandSlope,object,0,3,0.20562028786840303
Neighborhood,object,0,25,1.7135023989033584
Condition1,object,0,9,0.6168608636052091
Condition2,object,0,5,0.3427004797806717
BldgType,object,0,5,0.3427004797806717
HouseStyle,object,0,7,0.47978067169294036
OverallQual,int64,0,10,0.6854009595613434
OverallCond,int64,0,9,0.6168608636052091
YearBuilt,int64,0,106,7.26525017135024
YearRemodAdd,int64,0,61,4.180945853324195
RoofStyle,object,0,6,0.41124057573680606
RoofMatl,object,0,4,0.27416038382453733
Exterior1st,object,1,13,0.8910212474297464
Exterior2nd,object,1,15,1.0281014393420151
MasVnrType,object,16,4,0.27416038382453733
MasVnrArea,float64,15,303,20.767649074708704
ExterQual,object,0,4,0.27416038382453733
ExterCond,object,0,5,0.3427004797806717
Foundation,object,0,6,0.41124057573680606
BsmtQual,object,44,4,0.27416038382453733
BsmtCond,object,45,4,0.27416038382453733
BsmtExposure,object,44,4,0.27416038382453733
BsmtFinType1,object,42,6,0.41124057573680606
BsmtFinSF1,float64,1,669,45.85332419465387
BsmtFinType2,object,42,6,0.41124057573680606
BsmtFinSF2,float64,1,161,11.034955448937628
BsmtUnfSF,float64,1,793,54.352296093214534
TotalBsmtSF,float64,1,736,50.445510623714874
Heating,object,0,4,0.27416038382453733
HeatingQC,object,0,5,0.3427004797806717
CentralAir,object,0,2,0.13708019191226867
Electrical,object,0,4,0.27416038382453733
1stFlrSF,int64,0,789,54.07813570938999
2ndFlrSF,int64,0,407,27.895819054146674
LowQualFinSF,int64,0,15,1.0281014393420151
GrLivArea,int64,0,879,60.24674434544208
BsmtFullBath,float64,2,4,0.27416038382453733
BsmtHalfBath,float64,2,3,0.20562028786840303
FullBath,int64,0,5,0.3427004797806717
HalfBath,int64,0,3,0.20562028786840303
BedroomAbvGr,int64,0,7,0.47978067169294036
KitchenAbvGr,int64,0,3,0.20562028786840303
KitchenQual,object,1,4,0.27416038382453733
TotRmsAbvGrd,int64,0,12,0.8224811514736121
Functional,object,2,7,0.47978067169294036
Fireplaces,int64,0,5,0.3427004797806717
FireplaceQu,object,730,5,0.3427004797806717
GarageType,object,76,6,0.41124057573680606
GarageYrBlt,float64,78,97,6.648389307745031
GarageFinish,object,78,3,0.20562028786840303
GarageCars,float64,1,6,0.41124057573680606
GarageArea,float64,1,459,31.459904043865663
GarageQual,object,78,4,0.27416038382453733
GarageCond,object,78,5,0.3427004797806717
PavedDrive,object,0,3,0.20562028786840303
WoodDeckSF,int64,0,263,18.026045236463332
OpenPorchSF,int64,0,203,13.91363947909527
EnclosedPorch,int64,0,131,8.978752570253599
3SsnPorch,int64,0,13,0.8910212474297464
ScreenPorch,int64,0,75,5.140507196710075
PoolArea,int64,0,7,0.47978067169294036
PoolQC,object,1456,2,0.13708019191226867
Fence,object,1169,4,0.27416038382453733
MiscFeature,object,1408,3,0.20562028786840303
MiscVal,int64,0,26,1.7820424948594928
MoSold,int64,0,12,0.8224811514736121
YrSold,int64,0,5,0.3427004797806717
SaleType,object,1,9,0.6168608636052091
SaleCondition,object,0,6,0.41124057573680606
